UnixTime	Latitude	Longitude	Altitude
1480736268	-79.084999	147.170486	39777.089844
1480736368	-79.085281	147.102478	39768.070312
1480736468	-79.085464	147.033157	39793.761719
1480736568	-79.085625	146.962296	39830.148438
1480736668	-79.085762	146.890427	39822.441406
1480736768	-79.086121	146.818085	39837.199219
1480736868	-79.086800	146.744629	39838.460938
1480736968	-79.087677	146.671280	39805.699219
1480737068	-79.088928	146.598328	39821.089844
1480737176	-79.090912	146.520081	39830.789062
1480737276	-79.093033	146.446182	39816.941406
1480737376	-79.095177	146.372223	39853.089844
1480737476	-79.097382	146.300369	39837.460938
1480737576	-79.099716	146.229691	39834.750000
1480737676	-79.102119	146.158478	39838.269531
1480737776	-79.104469	146.089203	39837.769531
1480737876	-79.106644	146.020401	39868.289062
1480737976	-79.108711	145.951187	39848.339844
1480738076	-79.110802	145.882767	39886.949219
1480738176	-79.112740	145.813171	39875.210938
1480738276	-79.114700	145.741791	39842.640625
1480738376	-79.117065	145.670639	39892.531250
1480738476	-79.119392	145.599564	39873.410156
1480738576	-79.121559	145.528595	39890.839844
1480738676	-79.124016	145.458282	39926.121094
1480738776	-79.126335	145.387222	39891.140625
1480738876	-79.128151	145.314621	39926.539062
1480738976	-79.130081	145.242538	39900.570312
1480739076	-79.132339	145.171402	39868.070312
1480739176	-79.134766	145.100845	39906.828125
1480739276	-79.137268	145.031311	39882.570312
1480739376	-79.139961	144.962631	39904.050781
1480739476	-79.142891	144.894455	39936.949219
1480739576	-79.145576	144.825836	39937.320312
1480739676	-79.147888	144.756775	39916.300781
1480739776	-79.150032	144.688446	39914.609375
1480739876	-79.152107	144.620071	39900.308594
1480739976	-79.153946	144.553604	39883.871094
1480740076	-79.155602	144.489197	39929.019531
1480740176	-79.157349	144.424133	39896.589844
1480740276	-79.159218	144.359207	39917.859375
1480740376	-79.161049	144.293701	39947.050781
1480740476	-79.162682	144.227829	39892.121094
1480740576	-79.164314	144.163010	39936.148438
1480740676	-79.166115	144.097885	39957.648438
1480740776	-79.168068	144.032486	39912.351562
1480740876	-79.169968	143.968063	39900.250000
1480740976	-79.171654	143.905060	39904.488281
1480741076	-79.173492	143.841370	39883.121094
1480741176	-79.175529	143.776062	39899.300781
1480741276	-79.177567	143.711609	39933.851562
1480741376	-79.179619	143.646851	39943.859375
1480741476	-79.181602	143.580170	39954.218750
1480741576	-79.183624	143.513123	39987.800781
1480741676	-79.185730	143.446381	39964.980469
1480741776	-79.187782	143.380066	39962.031250
1480741876	-79.189934	143.315216	39949.980469
1480741976	-79.192207	143.251389	39915.679688
1480742076	-79.194542	143.186859	39918.898438
1480742182	-79.196976	143.117767	39900.398438
1480742282	-79.199249	143.053467	39900.460938
1480742382	-79.201797	142.988678	39898.441406
